"codigo","v_activa","v2_id","v2_version","items","selecciones","fotos","documentos","tablas","nota"
"E13A","1","ee1a3f68-f59a-4492-89f1-8cd5ebb5e50e","2","32","16","8","1","4","Datos del circuito D.1–D.5; resistencia de aislamiento del motor y del calentador como tablas M.1–M.4 (AC y DC, no obligatorias: se llena la que corresponde al tipo de motor) con los mínimos del original en 6.0; equipo de prueba T.1–T.5."
"E14-2B","1","a2180a08-3af0-4681-a2dc-98bcaa058db7","2","48","26","3","2","2","Datos del cargador D.1–D.8 (fabricante y serie del tag); pruebas de alarmas y disparos como tabla 9.0; valores de flotación, corriente límite y rizado como registros; aislamiento del tablero AC/DC como tabla 15.4; subítems 15.5.n / 15.6.n como selecciones; equipo de prueba T.1–T.5."
"E19A","1","368894e9-03fb-4efd-bc83-b0275dcd5c41","2","47","26","11","1","1","Datos del panel D.1–D.11 (fabricante y serie del tag); segunda lista «Verificaciones de cableado» renumerada C.1–C.12 para no repetir la numeración; aislamiento del calentador (10.0-R, mín. 10 MΩ), continuidad de tierra (C.11-R, máx. 1,0 Ω) y uniones de cinta como tabla C.12-R; equipo de prueba T.1–T.5."
"E21B","1","b5dade83-8f20-4145-bd38-662367427b6f","2","28","13","0","1","4","Datos del cubículo D.1–D.4; conmutación automática (M.1, filas 90/100/80 % con operaciones del original), aislamiento a 1 min (M.2), resistencia de contactos por polo (M.3) y factor de potencia GST/UST (M.4, solo 38 kV, no obligatoria) como tablas; equipo de prueba T.1–T.5."
"E31A","1","ab9819d1-de90-4945-b953-89f0804e9f8a","2","27","14","6","2","2","Datos eléctricos D.1–D.4; resistencia de devanados (M.1, el original dice MΩ pero es resistencia óhmica: columna de unidad libre) y aislamiento AT/BT/tierra (M.2) como tablas; resultados de rigidez dieléctrica del aceite como documento en 6.0; equipo de prueba T.1–T.5."
"E33A","1","f6f8d029-8a34-4d2b-baaa-ee70c566dbeb","2","12","2","0","1","2","Prueba HiPot AC de transformador: parámetros por devanado como tabla M.1 (primario / secundario), corriente de fuga en el tiempo como tabla M.2 (5 s a 1 min, fases A/B/C); criterio del 75 % de la tensión de fábrica y resultado como selecciones; equipo de prueba T.1–T.5."
"E34A","1","fadcfe64-d6fc-4530-8e2a-ed013cf0abad","2","11","5","4","0","0","Datos del circuito D.1–D.4; cinco controles como selecciones con foto en tipo/orientación, clasificación de área, codificación de color y puesta a tierra."
"E35A","1","ddcae953-e888-4619-8d61-a5dce4ad3f09","2","20","4","3","1","3","Protección catódica: descripción del punto de prueba como datos y selecciones (1.1–1.9); continuidad de ánodos (M.1), resistencia a tierra del lecho por picas (M.2 con promedio M.3) y potencial del suelo con rectificador OFF/ON (M.4) como tablas; equipo de prueba T.1–T.5."
"E36A","1","292b950e-39a0-4159-ba61-44dbf0f1b515","2","47","35","10","0","0","Inspección de equipo Ex: datos de certificación D.1–D.9 (fabricante, tipo y serie del tag; clase/división/grupo en D.9); 35 controles como selecciones con foto en etiquetas, daños, pernos, bridas, entradas, tierra, cables y guardas; detalles del lazo de tierra en 24.0-R. El ítem 2.0 no tenía traducción en el original."
"E37A","1","6f47f21d-11f0-44a9-adf4-f06520b34ef9","2","35","16","6","1","1","Datos del cable D.1–D.10 (fabricante y tipo del tag); continuidad de tierra del prensaestopas con registro 8.0-R (máx. 0,1 Ω); matriz triangular de aislamiento entre conductores (hasta 14 + tierra) como tabla M.1 de filas variables (par, lectura ≥ 25 MΩ a 500 V); equipo de prueba T.1–T.5."
"E41A","1","2c6cc9da-9366-47a8-81a6-2c8e1bd4a34a","2","18","11","8","0","1","Datos del circuito D.1–D.4; once controles como selecciones; lista de componentes del circuito como tabla M.1."
"E51B","1","d275edcd-1824-4a60-bbdc-f85f9f7989f5","2","37","23","7","2","2","Desalador electrostático: datos D.1–D.4; aislamiento de la acometida (M.1) y de los devanados del transformador con neutro desconectado (M.2) como tablas; resistencia de puesta a tierra en 11.1-R; referencias a informes del vendor (Prosernat) conservadas como en el original; equipo de prueba T.1–T.5."
"H02B","1","2965aaba-6666-4ac7-b6de-dca813ff8592","2","16","12","3","0","1","Compuertas (pre-comisionamiento): 11 controles como selecciones con foto en cierre sin holguras, indicador y dispositivo de bloqueo; parámetros medidos vs. diseño (volumen de aire, velocidad, pérdida de presión) como tabla 12.1; verificaciones adicionales del proveedor como texto 13.0."
"H02C","1","49e55790-2f69-466c-9d07-c0c8e552f2c2","2","16","12","3","0","1","Compuertas (comisionamiento): 11 controles como selecciones con foto en cierre sin holguras, indicador y dispositivo de bloqueo; parámetros medidos vs. diseño (volumen de aire, velocidad, pérdida de presión) como tabla 12.1; verificaciones adicionales del proveedor como texto 13.0."
"H50B","1","e8550c0e-7eea-4162-8949-f87d048e3cd7","2","17","17","4","0","0","Lista pura generada con generar-v2-listas.mjs (el código en la base es H50B, no H50b). base 30 ítems / original 17"
"M09C","1","198e4cf9-7f00-4f2b-8370-4da5cc32ecf2","2","36","20","1","0","3","Registro de operación mecánica de bombas: datos de placa D.1–D.7 (fabricante y modelo del tag); presiones estática y shut-off como registros 5.1-R / 5.2-R; el registro de arranque (16 parámetros × 11 tiempos) se transpone en tres tablas de filas variables con columna de tiempo: M.2 presiones/flujo/velocidad/corriente, M.3 temperaturas, M.4 vibraciones (12 puntos)."
"M12A","1","ea05e051-9516-4aa6-a46d-d6701e06925b","2","19","11","1","0","1","Alineación de acoples: 11 controles como selecciones; largo libre del espaciador, DBSE, tolerancias del fabricante y flotación axial como registros M.1–M.4; distancia entre caras de cubos (Fig. 1) M.5; lecturas de periferia y cara iniciales y finales (Fig. 2) como tabla M.6."
"M13B","(nueva)","2404b465-b173-45d9-b349-5b1d30a385b9","1","11","8","2","0","0","Plantilla nueva (no existía en CommUp): bomba sumergible en pre-comisionamiento, nueve controles como selecciones (4.1–4.4 bajo «resultados según especificación del fabricante») y comentarios adicionales como texto 6.0."
"M37A","1","31927bd6-392a-4378-9f1d-f3d6f2a27088","2","21","18","5","4","1","Prueba de carga de orejas de izaje / monorrieles: 15 controles previos como selecciones (certificados y calibración de celda de carga como documentos); deflexiones permitidas vs. reales como tabla M.1 (nota de 20 min antes de medir); controles 18–20 tras la prueba."
"M51C","1","3f682813-c889-41f0-9ae8-9bc6e992f1c7","2","19","14","1","2","0","Compresor centrífugo (comisionamiento): actividades eléctricas 3.1–3.3 como selecciones con registro del giro desacoplado (3.2-R); duración real de la prueba de 72 h (9.0-R) y parámetros BN 3500 (10.0-R) como registros; aceptaciones del vendor como documentos."
"M55C","1","9ff43743-8e17-408f-98e8-4a9ded7c902c","2","17","12","1","2","0","Compresor centrífugo de aire con engranaje integral (comisionamiento): actividades eléctricas 3.1–3.3 como selecciones con registro del giro desacoplado (3.2-R); duración real de la prueba de 72 h (8.0-R) y parámetros BN 3500 (9.0-R) como registros; aceptaciones del vendor como documentos."
"P03A","1","74011d14-9d4b-4bcb-8e27-7297391f00a7","2","23","0","0","4","3","Calibración de equipos de prueba de tubería: tres bloques (manómetro 1, manómetro 2, válvula de alivio) con tabla de puntos ascenso/descenso, patrón usado, certificado, rango, lectura de cero y técnico; los bloques 2 y 3 no son obligatorios; formulario del tercero como documento en R.2."
"P15C","1","a21a0d06-0e5d-48e4-92c5-3c9d254f0e42","2","15","4","1","0","0","Certificación de prueba de fugas: P&ID de referencia como dato D.1; medio de prueba como selección (4.0 + 4.0-R); presiones de diseño y de prueba, ajuste de PSV, duración y pérdida de presión por hora como mediciones; límites y subsistemas incluidos como texto 10.0."
"P21C","1","22b96b84-9578-4bb3-8778-ba9f7f2f5cd1","2","22","16","3","1","1","Soportes de resorte: P&ID de referencia D.1; líneas y resortes instalados como tabla M.1; cantidades 1.2 / 1.3 como números; controles agrupados en identificación, montaje, integridad, funcionalidad, liberación y registros; hoja de datos de resortes actualizada como documento en 6.1."
"Q06A","1","c27f356e-fe29-471c-9012-503134130bbe","2","13","9","4","0","0","Protección contra fuego: tipo como selección 1.0; etapas 2.0–10.0 como selecciones con foto en aplicaciones, malla, acabado y reparaciones; espesor final medido en 7.0-R."
"X01A","1","17481605-5191-4f2c-91ee-78f2cae57c82","2","5","1","1","1","0","Informe de inspección de pintura: es una hoja de aceptación; lista de planos de límites como dato D.1, aceptación del alcance como selección 1.0 y registros de inspección de pintura (preparación, espesores) como documento 2.0."
