codigo,familia,tablas_cuerpo,campos_datos,items_chequeo,items_con_valor,tablas_matriz,equipo_prueba,nota_condicional,db_version,db_items,db_checkbox,db_otros,atencion,matriz_cabeceras,ejemplos_valor,tablas_sin_clasificar,otras_cabeceras
E21B,D,3,4,17,4,0,sí,,1,35,35,,en la base es solo casillas; 4 campos de datos; 4 ítems con valor,,"8.0 Perform Automatic Commutating Operations at decreased and nominal volt ||  Turn on: Encendido:  Turn on and turn off: Encendido y Apagado: Turn o || 9.0 Perform insulation-resistance tests for one minute on each pole, phase",0,
E21BV,M,1,0,0,0,1,,,1,4,4,,en la base es solo casillas; 1 matriz; sin lista de chequeo reconocible,Tag No. | Cubicle No. | Load Description | Protocol Test No.,,0,
E22A,DM,5,3,11,3,1,,,1,20,20,,en la base es solo casillas; 1 matriz; 3 campos de datos; 3 ítems con valor,Distance D (C2) | Distance D (C2) | Distance D (C2) | Ground System Test Well No | Distance  P2 (62%D),"8.0 Witness and record ground resistance test results, according to the pr || 9.0 Witness and record ground resistance results of equipment taps (tails) || 10.0 Perform continuity test of ground loops. Realizar pruebas de continuid",0,
E22B,D,3,2,8,1,0,sí,,1,19,19,,en la base es solo casillas; 2 campos de datos; 1 ítems con valor,,4.0 Check and record the value of the grounding system resistance. Indicat,0,
E23A,D,2,11,15,1,0,,,1,30,30,,en la base es solo casillas; 11 campos de datos; 1 ítems con valor,,10.0 Perform Insulation Resistance test on motor and record results Realiza,0,
E24A,D,2,6,14,1,0,,,1,22,22,,en la base es solo casillas; 6 campos de datos; 1 ítems con valor,,10.0 Perform insulation resistance tests on anti cond. Heater. Minimum 10 M,0,
E25A,D,2,6,10,0,0,,,1,16,16,,en la base es solo casillas; 6 campos de datos,,,0,
E26A,DM,6,8,16,2,2,sí,sí,1,43,43,,en la base es solo casillas; 2 matriz; 8 campos de datos; 2 ítems con valor,1.12a | Torque bus connections as per manufacturer's recommendations and record the Torque Readings in the Table below  Conexiones de torsión de los colectores  || Ducter Test Record | PHASE A | PHASE B | PHASE C | NEUTRAL | EARTH,1.8 Megger (phase to phase and phase to ground) bus and record readings in || 1.10b Insulation Resistance Test (Megohm) for Space Heater Circuits Resisten,0,
E27A,D,2,7,14,0,0,,,1,21,21,,en la base es solo casillas; 7 campos de datos,,,0,
E28A,D,2,2,4,0,0,,,1,6,6,,en la base es solo casillas; 2 campos de datos,,,0,
E29A,M,2,0,0,0,1,,,1,26,26,,en la base es solo casillas; 1 matriz; 1 tabla(s) sin clasificar; sin lista de chequeo reconocible,Time Tiempo | Leakage Current (uA) On Phase A Corriente fuga en la fase A | Leakage Current (uA On Phase B Corriente fuga en la fase B | Leakage Current (uA) On,,1,Cable Drum No (No de tambor de cables)
E30A,D,2,3,22,2,0,,sí,1,26,26,,en la base es solo casillas; 3 campos de datos; 2 ítems con valor,,17.0 Measure insulation resistance  Medir la Resistencia del aislamiento || 21.0 AFTER CASTING: Measure insulation resistance Después de la vaciada(fun,0,
E31A,D,2,3,19,5,0,,,1,24,24,,en la base es solo casillas; 3 campos de datos; 5 ítems con valor,,13.0 Perform Resistance check of the transformer primary and secondary wind ||  RESISTANCE (MΩ) || 14.0 Perform Insulation Resistance Test (megger) of transformer primary and,0,
E32A,M,2,0,0,0,1,,,1,13,13,,en la base es solo casillas; 1 matriz; 1 tabla(s) sin clasificar; sin lista de chequeo reconocible,CALCULATED RATIO | MEASURED RATIO | Secondary Tap Positions | Line (HV) Volts | Phase (LV) Volts | r(TTR),,1,Manufacturer: Fabricante | Model No.: No de modelo
E33A,D,1,5,0,0,0,,,1,24,24,,en la base es solo casillas; 5 campos de datos; sin lista de chequeo reconocible,,,0,
E34A,C,2,0,5,0,0,,,1,10,10,,1 tabla(s) sin clasificar; conteo distinto: original 5 / base 10,,,1,INFORMATION AND INSPECTION
E34B,D,3,5,8,1,0,sí,,1,26,26,,en la base es solo casillas; 5 campos de datos; 1 ítems con valor,,"5.0 For 240V circuits, connect RCCD tester at each socket and confirm RCCD",0,
E35A,C+V,2,0,20,4,0,sí,,1,53,53,,en la base es solo casillas; 4 ítems con valor,,2.0 ANODE CONTINUITY CHECK PRIOR TO INSTALLTION VERIFICAR LA CONTINUIDAD D || 2.1 Anode No.: Ánodo No.: || 2.3 Anode bed Type: Tipo cama de Ánodo:,0,
E36A,M,2,0,37,2,1,,,1,48,48,,en la base es solo casillas; 1 matriz; 2 ítems con valor,Manufacturer: Fabricante: | Type: Tipo: | Serial No: No. Serie: | Rating:                                  Amps Valoración: | Gas Group: Grupo de gas: | Tempera,1.0 Confirm Area Classification: Confirmar la clasificación del área: || 24.0 Test and record earth loop path details and ensure earthing is in comp,0,
E37A,D,4,12,16,2,0,,,1,133,133,,en la base es solo casillas; 12 campos de datos; 2 ítems con valor; 2 tabla(s) sin clasificar,,8.0 Glands - Earth bonding  is correct and tested;     max 0.1 Ohm to grou || 10.0 Cores - Prior to termination - test and record insulation resistance v,2,Insulation resistance testing – check each core –Records in MΩ. Acceptable minimum: 25 Ω.  Test with 500V. Pruebas de Re || 1-2 | 1-3 | 1-4 | 1-5 | 1-6 | 1-7
E38A,DM,3,6,8,3,1,,,1,18,18,,en la base es solo casillas; 1 matriz; 6 campos de datos; 3 ítems con valor,Color-Cable | Yellow Amarillo | Blue Azul | Red Rojo | Orange Naranja | Brown Café | White Blanco | Green Verde,3.0 Verify a point-to-point continuity check has been made for the core be || 6.1 Test and record insulation resistance Probar y registrar la Resistenci || 6.2 Voltage Test:                         Time:                           ,0,
E39A,C,1,0,15,0,0,,,1,15,15,,,,,0,
E40A,C,1,0,8,0,0,,,1,8,8,,,,,0,
E41A,C,3,0,11,0,0,,,1,19,19,,2 tabla(s) sin clasificar; conteo distinto: original 11 / base 19,,,2,INFORMATION AND INSPECTION || List of components in the circuit
E41B,D,3,4,26,5,0,sí,,1,43,43,,en la base es solo casillas; 4 campos de datos; 5 ítems con valor,,4.0 Confirm output voltage is according to the Specifications and record o || 5.0 Confirm neutral and earth connection (where specified) are properly co || 6.0 Test and record insulation resistance. Phases to earth. Verificar y re,0,
E42-1B,D,3,4,10,2,0,sí,,1,27,27,,en la base es solo casillas; 4 campos de datos; 2 ítems con valor,,"3.0 Perform the simulation by IED in DNP 3.0 of the output and input analo || 4.0 Through IED in RTU Modbus (Siemens), perform the simulation of the out",0,
E47B,D,3,6,11,1,0,sí,,1,26,26,,en la base es solo casillas; 6 campos de datos; 1 ítems con valor,,9.0 Insulation Resistance Tests - Bus-bar system. Prueba de Resistencia de,0,
E48B,D,3,7,6,1,0,sí,,1,27,27,,en la base es solo casillas; 7 campos de datos; 1 ítems con valor,,6.0 INSULATION RESISTANCE TEST (IR) (PRIOR OPERATION) PRUEBA DE RESISTENCI,0,
E49BV,M,9,0,0,0,8,,,1,47,47,,en la base es solo casillas; 8 matriz; sin lista de chequeo reconocible,Tag No. | Tag Description | Check Sheet No. | Check Sheet Description | Voltage Level | Protocol Test No. || Tag No. | Tag Description | Check Sheet No. | Check Sheet Description | Voltage Level | Protocol Test No. || Tag No. | Tag Descript,,0,
E49BV-1,M,29,0,0,0,28,,,1,207,207,,en la base es solo casillas; 28 matriz; sin lista de chequeo reconocible,Tag No. | Serial | Type | Voltage Level [V] | Current [A] | Protocol Test No. || Tag No. | Relay Type | Serial | Check Sheet Description | Protocol Test No. Tag No. || Description | Manufacture | Serie | Last calibration date || Tag No. | S,,0,
E50B,D,3,10,17,6,0,sí,,1,40,40,,en la base es solo casillas; 10 campos de datos; 6 ítems con valor,,7.0 Perform continuity Test on both control wiring remote and local contro || 8.0 Test and record Heater Insulation Resistance (phase to earth). Prueba  || 9.0 Test and record Heater Resistance (phase to phase). Prueba y registro ,0,
E51B,D,3,4,33,5,0,sí,,1,50,50,,en la base es solo casillas; 4 campos de datos; 5 ítems con valor,,10.0 Perform the measurement of the insulation resistance of phases to grou ||  Test Voltage: ||  Remove Neutral and Grounding connection and perform Insulation resista,0,
E52BV,M,7,0,0,0,6,,,1,35,35,,en la base es solo casillas; 6 matriz; sin lista de chequeo reconocible,Tag No. | Tag Description | Check Sheet No. | Check Sheet Description | Voltage Level | Protocol Test No. || Tag No. | Tag Description | Check Sheet No. | Check Sheet Description | Voltage Level | Protocol Test No. || Tag No. | Tag Descript,,0,
E54B,D,3,18,18,6,0,sí,,1,49,49,,en la base es solo casillas; 18 campos de datos; 6 ítems con valor,,8.0 Perform continuity Test on both control wiring remote and local contro || 9.0 Check and record insulation resistance of circuit to earth (Use 500 Vo || 13.0 Confirm Winding Resistance Documentation is complete and available. Co,0,
H01A,C,1,0,14,0,0,,,1,14,14,,,,,0,
H02A,C,1,0,18,0,0,,sí,1,18,18,,,,,0,
H02B,C+V,1,0,18,2,0,,,1,18,18,,en la base es solo casillas; 2 ítems con valor,,12.0 Measured V Calculated Parameters || 13.0 Carry out and record any additional checks that may have been recommen,0,
H02C,C+V,1,0,18,2,0,,,1,18,18,,en la base es solo casillas; 2 ítems con valor,,12.0 Measured V Calculated Parameters Medida Para metros V Calculados || 13.0 Carry out and record any additional checks that may have been recommen,0,
H03A,C,1,0,12,0,0,,,1,12,12,,,,,0,
H03B,C+V,1,0,9,1,0,,,1,9,9,,en la base es solo casillas; 1 ítems con valor,,6.0 Record any additional checks that may have been performed or has been ,0,
H03C,C+V,1,0,8,1,0,,,1,8,8,,en la base es solo casillas; 1 ítems con valor,,5.0 Record any additional checks that may have been performed or has been ,0,
H04A,C,1,0,14,0,0,,,1,14,14,,,,,0,
H04B,C,1,0,4,0,0,,,1,4,4,,,,,0,
H05A,C,1,0,9,0,0,,,1,9,9,,,,,0,
H05B,C,1,0,9,0,0,,sí,1,9,9,,,,,0,
H06A,C,1,0,10,0,0,,,1,10,10,,,,,0,
H07A,C,1,0,13,0,0,,,1,13,13,,,,,0,
H08A,C,1,0,15,0,0,,,1,15,15,,,,,0,
H09A,C,1,0,7,0,0,,,1,7,7,,,,,0,
H10A,C,1,0,17,0,0,,,1,17,17,,,,,0,
H11A,C,1,0,5,0,0,,,1,5,5,,,,,0,
H12A,C,1,0,12,0,0,,,1,12,12,,,,,0,
H13A,C,1,0,16,0,0,,,1,16,16,,,,,0,
H14A,C,1,0,10,0,0,,,1,10,10,,,,,0,
H15A,C,1,0,17,0,0,,,1,17,17,,,,,0,
H15B,M,1,0,0,0,1,,,1,8,8,,en la base es solo casillas; 1 matriz; sin lista de chequeo reconocible,Area / Room Description Área / Descripción  recinto | Temperature / Humidity Measurements Medidas de Temperatura / Humedad | Design (see Data Sheets) Valores de,,0,
H16A,C+V,1,0,19,16,0,,,1,19,19,,en la base es solo casillas; 16 ítems con valor,,1.0 Ductwork Details: Detalle del conducto: || 1.1 Length: Longitud: || 1.2 Width / Depth / Diameter : Ancho / Profundidad / Diámetro:,0,
H17B,C+V,1,0,11,2,0,,,1,11,11,,en la base es solo casillas; 2 ítems con valor,,"3.0 Check the following for the Mist Eliminator: Verificar lo siguiente pa || 6.0 Check pressure loss conformance to design values, measure and record p",0,
H18B,M,1,0,0,0,1,,,1,13,13,,en la base es solo casillas; 1 matriz; sin lista de chequeo reconocible,Module/Area/ Location Modulo/Área/Ubicación | PDIT Tag No. | Supply Fan No. Ventilador de Suministro No. | Extract Fan No. Ventilador de extracción No. | Module,,0,
H20C,M,1,0,0,0,1,,,1,8,8,,en la base es solo casillas; 1 matriz; sin lista de chequeo reconocible,Area / Room Description Área / Sala Descripción | Temperature / Humidity Measurements Mediciones de Temperatura / Humedad | Design (see Data Sheets) Diseño (ver,,0,
H21C,C,1,0,16,0,0,,,1,16,16,,,,,0,
H50b,C,2,0,17,0,0,sí,,,,,,sin plantilla activa en la base,,,0,
I01A,D,3,8,9,1,0,sí,,2,28,0,"continuity:1, date:1, number:4, select:8, text:14",8 campos de datos; 1 ítems con valor,,"5.0 Continuity Check. (Test each conductor, inc shield) Revisión de contin",0,
I02A,C+V,2,0,6,1,0,,sí,1,11,11,,en la base es solo casillas; 1 ítems con valor; 1 tabla(s) sin clasificar,,1.0 Check upstream face of the plate tab contains the following markings: ,1,"For measurements check, use calipers  Para la prueba de mediciones, usar calibradores"
I03A,D,2,9,8,0,0,sí,,1,31,31,,en la base es solo casillas; 9 campos de datos,,,0,
I03B,C,1,0,5,0,0,,,1,5,5,,,,,0,
I04A,C,1,0,8,0,0,,,2,11,0,"date:1, select:8, text:2",,,,0,
I04B,C,1,0,7,0,0,,,1,7,7,,,,,0,
I05A,M,2,0,10,0,1,,sí,1,52,9,"measurement:9, number:25, select:3, text:4, yes_no:2",1 matriz,CALIBRATION CHECK | Input Entrada,,0,
I06A,C,1,0,17,0,0,,,2,19,0,"select:17, text:2",,,,0,
I07A,C+V,1,0,17,1,0,,,1,17,17,,en la base es solo casillas; 1 ítems con valor,,17.0 Check record earth bar resistance to general earth. Revisar el registr,0,
I08A,C,1,0,6,0,0,,,1,6,6,,,,,0,
I09A,C,1,0,11,0,0,sí,,1,23,23,,conteo distinto: original 11 / base 23,,,0,
I10A,DM,4,9,8,0,1,sí,,2,117,0,"date:3, measurement:31, number:13, select:31, text:39",1 matriz; 9 campos de datos,CALIBRATION CHECK | Input Entrada,,0,
I11A,DM,3,7,37,21,1,,,1,66,66,,en la base es solo casillas; 1 matriz; 7 campos de datos; 21 ítems con valor,CALIBRATION CHECK | Input Entrada,7.1 Electrical certification correct: Certificación eléctrica correcta: || 7.2 Electrical connections correct: Conexiones eléctricas correctas: || 8.1 Voltage: Voltaje:,0,
I11B,C,4,0,7,0,0,,,1,26,26,,3 tabla(s) sin clasificar; conteo distinto: original 7 / base 26,,,3,CALIBRATION EQUIPMENTS EQUIPOS DE CALIBRACION || OPERATION TEST PRUEBA DE OPERACION || ANCILLIARIES TEST PRUEBA DE ACCESORIOS
I12A,C,1,0,10,0,0,,,1,10,10,,,,,0,
I12B,C,1,0,21,0,0,,,1,21,21,,,,,0,
I14A,D,2,2,11,0,0,,,1,13,13,,en la base es solo casillas; 2 campos de datos,,,0,
I14B,C,1,0,7,0,0,,,1,7,7,,,,,0,
I15A,D,2,2,15,1,0,,,1,17,17,,en la base es solo casillas; 2 campos de datos; 1 ítems con valor,,"8.0 After Testing and Flushing is Complete, Check the following: Luego que",0,
I16A,C,1,0,7,0,0,,,1,7,7,,,,,0,
I17A,C+V,1,0,6,3,0,,,1,6,6,,en la base es solo casillas; 3 ítems con valor,,1.0 Component being Installed: Componentes a Instalar:  Thermowell  Termop || 2.0 Thermowell details: Detalles del Termopozo:  Length as per data sheet: || 4.0 Other : _________________ Otro:,0,
I18A,C,1,0,3,0,0,,,1,3,3,,,,,0,
I21C,C,1,0,6,0,0,,,1,20,20,,conteo distinto: original 6 / base 20,,,0,
I26B,C,2,0,7,0,0,sí,,1,27,27,,conteo distinto: original 7 / base 27,,,0,
I27B,M,2,0,8,0,1,sí,,1,28,28,,en la base es solo casillas; 1 matriz,8.0 | INSPECTION OF SETTING AND OPERATION  VERIFICACION DE AJUSTES Y OPERACION | Switch Tag No. Tag Interruptor | Switch Contacts Contactos | Setting  Ajuste | ,,0,
I28C,D,3,2,7,1,0,sí,,1,32,32,,en la base es solo casillas; 2 campos de datos; 1 ítems con valor,,7.0 Verify Alarm Record and Text. Verificar registro de alarma y texto.,0,
I29C,M,3,0,6,1,1,sí,,1,82,82,,en la base es solo casillas; 1 matriz; 1 ítems con valor,Componente (Tag) | Tipo | Alistamiento | Configuración de Parámetros | Gráficos | Prueba de Funcionamiento | Tuning | Operación,1.0 For each component in the Loop verify and register: Por cada dispositi,0,
I30C,D,2,5,4,1,0,,,1,15,15,,en la base es solo casillas; 5 campos de datos; 1 ítems con valor,,"2.0 According with the cause-effect diagram, simulate or force the trip va",0,
I31C,C+V,1,0,9,1,0,,,1,9,9,,en la base es solo casillas; 1 ítems con valor,,8.0 Record any additional checks that may have been performed as requested,0,
I33C,C+V,2,0,13,7,0,sí,,1,28,28,,en la base es solo casillas; 7 ítems con valor,,1.0 Input Range: || 2.0 Indication Range: || 3.0 Calibration Check:,0,
I34B,C,2,0,8,0,0,sí,,1,31,31,,1 tabla(s) sin clasificar; conteo distinto: original 8 / base 31,,,1,OPERATION TEST PRUEBAS DE OPERACIÓN
I42B,M,2,0,8,0,1,sí,,1,26,26,,en la base es solo casillas; 1 matriz,OPERATION TEST PRUEBA DE OPERACIÓN | RANGE RANGO | ZEROCERO | SPAN LAPSO | UNITS UNIDADES,,0,
