"codigo","v_activa","v2_id","v2_version","items","fotos","sin_traduccion","equipo_prueba","avisos"
"M05A","1","","","7","5","0","","1 ítems como texto (dato o libre)"
"M07B","1","","","27","6","0","","2 ítems como texto (dato o libre)"
"M09B","1","","","11","0","0","","1 ítems como texto (dato o libre)"
"M09B-1","1","","","6","1","0","","1 campos de registro (N-R)"
"M10A","1","","","12","3","0","","1 ítems como texto (dato o libre)"
"M10B","1","","","23","6","0","","1 campos de registro (N-R); 1 ítems como texto (dato o libre)"
"M11C","1","","","20","8","0","","2 ítems como texto (dato o libre)"
"M12A","1","","","11","0","0","","3 campos de registro (N-R); 1 ítems como texto (dato o libre); base 18 ítems / original 11; 1 filas de matriz embebida en la lista (no es lista pura)"
"M12B","1","","","7","1","0","","6 campos de registro (N-R); base 8 ítems / original 7"
"M12C","1","","","8","1","0","","7 campos de registro (N-R)"
"M13B","","","","","","","","sin plantilla activa"
"M13C","1","","","45","12","0","","1 campos de registro (N-R); 2 ítems como texto (dato o libre)"
"M14B","1","","","15","2","0","","2 ítems como texto (dato o libre)"
"M18A","1","","","24","4","0","","2 campos de registro (N-R)"
"M22B","1","","","14","0","0","","1 ítems como texto (dato o libre)"
"M22C","1","","","16","0","0","","1 ítems como texto (dato o libre)"
"M23B","1","","","25","3","0","","1 ítems como texto (dato o libre)"
"M24A","1","","","9","2","0","","2 ítems como texto (dato o libre)"
"M27C","1","","","12","5","0","","1 ítems como texto (dato o libre)"
"M33A","1","","","7","0","0","","3 campos de registro (N-R)"
"M34A","1","","","20","5","0","","1 ítems como texto (dato o libre)"
"M35A","1","","","19","7","0","sí","1 campos de registro (N-R); base 20 ítems / original 19"
"M36C","1","","","17","7","0","","1 ítems como texto (dato o libre)"
"M37A","1","","","20","6","0","","4 campos de registro (N-R); base 22 ítems / original 20; 1 filas de matriz embebida en la lista (no es lista pura)"
"M38A","1","","","16","6","0","","1 campos de registro (N-R)"
"M39A","1","","","19","0","0","","1 campos de registro (N-R); base 30 ítems / original 19"
"M42A","1","","","17","2","0","","3 campos de registro (N-R); 1 ítems como texto (dato o libre); base 21 ítems / original 17"
"M43A","1","","","15","6","0","","3 campos de registro (N-R)"
"M43C","1","","","21","9","0","","8 campos de registro (N-R)"
"M44A","1","","","16","6","0","","2 campos de registro (N-R)"
"M44B","1","","","36","8","0","","1 campos de registro (N-R); 1 ítems como texto (dato o libre)"
"M49B","1","","","13","3","0","","1 ítems como texto (dato o libre)"
"M50B","1","","","41","8","0","","3 campos de registro (N-R); 1 ítems como texto (dato o libre)"
"M51B","1","","","34","9","0","","1 campos de registro (N-R); 2 ítems como texto (dato o libre)"
"M52B","1","","","29","3","0","","2 campos de registro (N-R); 1 ítems como texto (dato o libre)"
"M52C","1","","","12","2","0","","1 ítems como texto (dato o libre)"
"M53C","1","","","10","0","0","","7 ítems como texto (dato o libre)"
"M54B","1","","","36","8","0","",""
"M55B","1","","","39","8","0","","1 campos de registro (N-R); 1 ítems como texto (dato o libre)"
"M57B","1","","","42","3","0","","4 campos de registro (N-R); 1 ítems como texto (dato o libre)"
"M58B","1","","","74","9","0","","2 campos de registro (N-R); 1 ítems como texto (dato o libre)"
"M59B","1","","","18","2","0","","1 ítems como texto (dato o libre)"
"M60B","1","","","43","3","0","","1 campos de registro (N-R); 1 ítems como texto (dato o libre)"
"M61B","1","","","32","3","0","","1 campos de registro (N-R); 1 ítems como texto (dato o libre)"
"M64B","1","","","39","5","0","","1 campos de registro (N-R); 1 ítems como texto (dato o libre)"
"P03A","1","","","15","0","0","","12 ítems como texto (dato o libre); base 25 ítems / original 15; 3 filas de matriz embebida en la lista (no es lista pura)"
"P04A","1","","","11","0","0","","1 campos de registro (N-R); 1 ítems como texto (dato o libre); base 15 ítems / original 11"
"P05A","1","","","20","3","0","","1 ítems como texto (dato o libre)"
"P06A","1","","","5","1","0","","1 ítems como texto (dato o libre)"
"P06A(1)","1","","","5","1","0","","1 ítems como texto (dato o libre)"
"P08A","1","","","48","10","0","sí","base 55 ítems / original 48"
"P10A","1","","","14","5","0","","1 campos de registro (N-R)"
"P11B","1","","","20","3","0","","3 ítems como texto (dato o libre); base 23 ítems / original 20"
"P13B","1","","","3","0","0","","2 ítems como texto (dato o libre); base 5 ítems / original 3"
"P15B","1","","","20","3","0","","2 ítems como texto (dato o libre); base 22 ítems / original 20"
"P15C","1","","","10","1","0","","5 ítems como texto (dato o libre); base 13 ítems / original 10; 1 tabla(s) del original sin clasificar (no es lista pura)"
"P19B","1","","","6","3","0","","2 ítems como texto (dato o libre); base 8 ítems / original 6"
"P21C","1","","","24","10","0","","2 ítems como texto (dato o libre); base 31 ítems / original 24; 2 tabla(s) del original sin clasificar (no es lista pura)"
"Q02A","1","","","20","4","0","","3 campos de registro (N-R); 1 ítems como texto (dato o libre)"
"Q07A","1","","","9","0","0","","1 ítems como texto (dato o libre)"
"T04B","1","","","5","0","0","","1 campos de registro (N-R)"
"T06B","1","","","7","1","0","",""
"T09A","1","","","20","10","0","","2 campos de registro (N-R)"
"T09C","1","","","26","1","0","","2 campos de registro (N-R)"
"T11B","1","","","16","2","0","","1 campos de registro (N-R)"
"T12B","1","","","8","1","0","","1 campos de registro (N-R)"
